Entity,Code,Year,Public spending on education as a share of GDP
Albania,ALB,2020,3.3423
Albania,ALB,2021,3.02256
Albania,ALB,2022,2.74433
Algeria,DZA,2020,6.1939173
Algeria,DZA,2021,5.514033
Algeria,DZA,2022,4.7492466
Algeria,DZA,2023,5.610157
Andorra,AND,2020,2.6321304
Andorra,AND,2021,2.5839722
Andorra,AND,2022,2.64729
Andorra,AND,2023,1.92791
Angola,AGO,2020,2.6674473
Angola,AGO,2021,2.297109
Angola,AGO,2022,2.332126
Antigua and Barbuda,ATG,2020,2.9934032
Antigua and Barbuda,ATG,2021,2.5746489
Antigua and Barbuda,ATG,2022,3.6477485
Argentina,ARG,2020,5.2769
Argentina,ARG,2021,4.64117
Argentina,ARG,2022,4.80521
Armenia,ARM,2020,2.70556
Armenia,ARM,2021,2.76785
Armenia,ARM,2022,2.4919
Armenia,ARM,2023,0.2426
Australia,AUS,2020,5.37828
Australia,AUS,2021,5.33321
Australia,AUS,2022,5.2067766
Austria,AUT,2020,5.57127
Austria,AUT,2021,5.49411
Austria,AUT,2022,4.7744713
Azerbaijan,AZE,2020,4.33205
Azerbaijan,AZE,2021,3.70208
Azerbaijan,AZE,2022,3.0469
Azerbaijan,AZE,2023,3.5829003
Bahamas,BHS,2020,3.7900116
Bahamas,BHS,2021,3.0069325
Bahamas,BHS,2022,2.8365762
Bahrain,BHR,2020,2.5523746
Bahrain,BHR,2021,2.221358
Bahrain,BHR,2022,1.9877973
Bangladesh,BGD,2020,1.7652806
Bangladesh,BGD,2021,1.83118
Bangladesh,BGD,2022,1.7118367
Bangladesh,BGD,2023,1.7752274
Barbados,BRB,2020,4.1686
Barbados,BRB,2021,4.86361
Barbados,BRB,2022,4.41624
Barbados,BRB,2023,4.04476
Belarus,BLR,2020,4.86264
Belarus,BLR,2021,4.60641
Belarus,BLR,2022,4.62823
Belarus,BLR,2023,4.95148
Belgium,BEL,2020,6.80186
Belgium,BEL,2021,6.35552
Belize,BLZ,2020,5.21632
Belize,BLZ,2021,5.94879
Belize,BLZ,2022,4.59651
Belize,BLZ,2023,4.25564
Benin,BEN,2020,3.0944152
Benin,BEN,2021,3.2034843
Benin,BEN,2022,3.377859
Bermuda,BMU,2020,1.8900877
Bermuda,BMU,2021,1.8849169
Bermuda,BMU,2022,1.9222134
Bermuda,BMU,2023,1.9336468
Bhutan,BTN,2020,5.5434127
Bhutan,BTN,2021,6.5983863
Bhutan,BTN,2022,7.46982
Bhutan,BTN,2023,5.8451858
Bolivia,BOL,2020,8.43711
Bolivia,BOL,2021,7.96215
Bolivia,BOL,2022,7.5755
Bosnia and Herzegovina,BIH,2020,3.0195408
Bosnia and Herzegovina,BIH,2021,4.13623
Botswana,BWA,2020,8.058336
Brazil,BRA,2020,5.7715
Brazil,BRA,2021,5.49698
British Virgin Islands,VGB,2020,2.70539
British Virgin Islands,VGB,2021,2.8699133
British Virgin Islands,VGB,2022,2.48402
Bulgaria,BGR,2020,4.50514
Bulgaria,BGR,2021,4.73033
Burkina Faso,BFA,2020,5.150865
Burkina Faso,BFA,2021,5.224015
Burkina Faso,BFA,2022,5.276512
Burundi,BDI,2020,5.321585
Burundi,BDI,2021,4.871142
Burundi,BDI,2022,4.8210473
Cambodia,KHM,2020,3.00235
Cambodia,KHM,2021,3.0116265
Cambodia,KHM,2022,2.8834927
Cambodia,KHM,2023,2.9511523
Cameroon,CMR,2020,3.1039014
Cameroon,CMR,2021,2.8276408
Cameroon,CMR,2022,2.6176844
Canada,CAN,2020,4.88795
Canada,CAN,2021,4.7486
Canada,CAN,2022,4.1395717
Cape Verde,CPV,2021,6.037501
Cape Verde,CPV,2022,4.6728854
Cayman Islands,CYM,2020,1.45542
Cayman Islands,CYM,2021,1.31253
Cayman Islands,CYM,2022,1.48894
Central African Republic,CAF,2020,2.1446805
Central African Republic,CAF,2021,1.8725169
Central African Republic,CAF,2022,2.1150913
Central Europe and the Baltics (WB),,2020,4.72159
Central Europe and the Baltics (WB),,2021,4.68406
Chad,TCD,2020,2.739604
Chad,TCD,2021,2.88813
Chad,TCD,2022,2.538673
Chile,CHL,2020,5.62993
Chile,CHL,2021,4.99924
China,CHN,2020,4.2333813
China,CHN,2021,3.988325
